id,nameWithOwner,url,createdAt,updatedAt,primaryLanguage,releases,pullRequests,issues,IssuesClosed,age,timeSinceLastUpdate,reasonIssuesIssuesClosed
MDEwOlJlcG9zaXRvcnk1MTA4MDUx,opencv/opencv,https://github.com/opencv/opencv,2012-07-19T09:40:17Z,2023-09-06T18:52:19Z,C++,60,11407,9967,7564,4066,0.5019444444444444,0.7589043844687469
MDEwOlJlcG9zaXRvcnk2NTYwMDk3NQ==,pytorch/pytorch,https://github.com/pytorch/pytorch,2016-08-13T05:26:41Z,2023-09-06T19:17:31Z,Python,45,5459,36105,24431,2580,0.08194444444444444,0.6766652818169229
MDEwOlJlcG9zaXRvcnk2MTIyMzA=,nvm-sh/nvm,https://github.com/nvm-sh/nvm,2010-04-15T17:47:47Z,2023-09-06T18:57:08Z,Shell,64,690,2012,1679,4892,0.4216666666666667,0.834493041749503
MDEwOlJlcG9zaXRvcnkxMjc5ODgwMTE=,macrozheng/mall,https://github.com/macrozheng/mall,2018-04-04T01:11:44Z,2023-09-06T17:23:23Z,Java,2,1,469,444,1981,1.9841666666666666,0.9466950959488273
MDEwOlJlcG9zaXRvcnk0NDU3MTcxOA==,vuejs/awesome-vue,https://github.com/vuejs/awesome-vue,2015-10-20T00:16:14Z,2023-09-06T15:10:46Z,,0,3438,217,187,2878,4.194444444444445,0.8617511520737328
MDEwOlJlcG9zaXRvcnk2Mjk2Nzkw,spring-projects/spring-boot,https://github.com/spring-projects/spring-boot,2012-10-19T15:02:57Z,2023-09-06T17:59:34Z,Java,186,42,30977,30374,3974,1.3811111111111112,0.980533944539497
MDEwOlJlcG9zaXRvcnkxNjQwODk5Mg==,neovim/neovim,https://github.com/neovim/neovim,2014-01-31T13:39:22Z,2023-09-06T17:43:19Z,Vim Script,33,10652,10152,8757,3505,1.6519444444444444,0.8625886524822695
MDEwOlJlcG9zaXRvcnkxMTE4MDY4Nw==,gohugoio/hugo,https://github.com/gohugoio/hugo,2013-07-04T15:26:26Z,2023-09-06T15:59:15Z,Go,240,2137,6682,6107,3716,3.386388888888889,0.9139479197844956
MDEwOlJlcG9zaXRvcnk1NTA3NjA2Mw==,Hack-with-Github/Awesome-Hacking,https://github.com/Hack-with-Github/Awesome-Hacking,2016-03-30T15:47:10Z,2023-09-06T18:19:09Z,,0,27,0,0,2716,1.0547222222222221,0.0
MDEwOlJlcG9zaXRvcnkxNDc0NzU5OA==,typicode/json-server,https://github.com/typicode/json-server,2013-11-27T13:21:13Z,2023-09-06T15:38:12Z,JavaScript,13,110,1060,483,3570,3.737222222222222,0.4556603773584906
MDEwOlJlcG9zaXRvcnkxNTc2MTY4ODA=,iptv-org/iptv,https://github.com/iptv-org/iptv,2018-11-14T22:00:57Z,2023-09-06T17:27:22Z,JavaScript,0,5767,6533,6353,1756,1.9177777777777778,0.9724475738558089
MDEwOlJlcG9zaXRvcnkxOTY3MDE2MTk=,tauri-apps/tauri,https://github.com/tauri-apps/tauri,2019-07-13T09:09:37Z,2023-09-06T18:58:02Z,Rust,607,3311,2971,2452,1516,0.4066666666666667,0.8253113429821609
MDEwOlJlcG9zaXRvcnkxNzI1NjI0NzU=,florinpop17/app-ideas,https://github.com/florinpop17/app-ideas,2019-02-25T18:36:56Z,2023-09-06T18:20:32Z,,0,149,115,38,1654,1.0316666666666667,0.33043478260869563
